date,address,1st,4th,6th,5min,5min2,study,partial,site,lat,lng
2017-06-28,3450 S. Marshfield Ave. ,7.7,6.4,5.4,3.2,,TRUE,FALSE,3,41.8307776,-87.6669493
2017-06-02,3450 N. Kostner Ave. ,3.3,5.8,8.5,1.7,,TRUE,FALSE,3,41.9441183,-87.7374608
2017-06-02,3450 N. Kostner Ave. ,10,2,9.9,0.9,0.9,TRUE,FALSE,4,41.9441183,-87.7374608
2017-04-10,3550 N. Nagle Ave. ,1.8,4.3,3.2,0.9,,TRUE,FALSE,1,41.94534,-87.787903
2016-10-31,3550 W. 12th Pl.,0,0,0,0,,TRUE,FALSE,,41.865402,-87.714772
2017-05-25,3550 W. 12th Pl.,0,0,0,0,,TRUE,FALSE,,41.865402,-87.714772
2017-04-07,3550 N. Nagle Ave. ,0,0,0.3,0,,TRUE,FALSE,2,41.94534,-87.787903
2017-06-27,3550 N. Nagle Ave. ,0,0,0,0,0,TRUE,FALSE,2,41.94534,-87.787903
2017-07-27,3550 N. Nagle Ave. ,0,0,0,0,,TRUE,FALSE,2,41.94534,-87.787903
2017-08-24,3550 N. Nagle Ave. ,0,0,0,0,,TRUE,FALSE,2,41.94534,-87.787903
2016-11-30,3550 S. Paulina St.,0.8,0,0,0,,TRUE,FALSE,,41.8289789,-87.668257
2017-03-23,3550 S. Paulina St.,0.5,0,0,0,,TRUE,FALSE,,41.8289789,-87.668257
2016-10-26,3650 W. 57th Pl. ,2.8,4.9,7.5,2.1,,TRUE,FALSE,1,41.7890129,-87.7154547
2017-03-21,3650 W. 57th Pl. ,14,1.8,2.3,0.9,,TRUE,FALSE,1,41.7890129,-87.7154547
2016-10-26,3650 W. 57th Pl. ,2.1,3.5,2.9,1.9,,TRUE,FALSE,2,41.7890129,-87.7154547
2017-03-17,3650 W. 57th Pl. ,2.3,3.2,3.4,1.3,,TRUE,FALSE,2,41.7890129,-87.7154547
2017-04-13,3650 W. 57th Pl. ,2.7,3.5,3.6,1.4,,TRUE,FALSE,2,41.7890129,-87.7154547
2017-05-18,3650 W. 57th Pl. ,3.2,7.8,6.7,2,,TRUE,FALSE,2,41.7890129,-87.7154547
2017-06-22,3650 W. 57th Pl. ,4,5.6,9,2.9,,TRUE,FALSE,2,41.7890129,-87.7154547
